no_bairro;co_municipio;co_cep;no_entidade;in_internet_alunos;qt_prof_assist_social;qt_doc_bas;qt_doc_fund;qt_doc_med;qt_doc_esp;qt_tur_bas;qt_tur_fund;qt_tur_med;qt_tur_esp;co_entidade
PAMPULHA                                          ;3106200                                                                                             ;31270901            ;UFMG - COLEGIO TECNICO                                                                              ;0                                                                                                   ;1;60;0;59;29;47;0;40;3;31000019                                                                                            
MADRE GERTRUDES                                   ;3106200                                                                                             ;30518320            ;EE AARAO REIS                                                                                       ;0                                                                                                   ;0;37;33;0;26;24;20;0;10;31000027                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30130141            ;EE BUENO BRANDAO                                                                                    ;1                                                                                                   ;0;41;41;0;17;37;37;0;13;31000035                                                                                            
JARDIM INCONFIDENCIA                              ;3106200                                                                                             ;30820190            ;EE GUIA LOPES                                                                                       ;1                                                                                                   ;0;23;19;12;17;12;9;3;4;31000051                                                                                            
CACHOEIRINHA                                      ;3106200                                                                                             ;31150310            ;EE PERO VAZ DE CAMINHA                                                                              ;0                                                                                                   ;0;18;18;0;14;9;9;0;4;31000060                                                                                            
SANTA CRUZ                                        ;3106200                                                                                             ;31155290            ;EE MAJOR DELFINO DE PAULA RICARDO                                                                   ;1                                                                                                   ;0;20;20;0;16;13;13;0;6;31000078                                                                                            
VILA PARIS                                        ;3106200                                                                                             ;30380640            ;EE PROFESSOR JOSE MESQUITA DE CARVALHO                                                              ;1                                                                                                   ;0;66;45;30;44;48;27;15;14;31000086                                                                                            
VILA OESTE                                        ;3106200                                                                                             ;30532060            ;EE SANDRA RISOLETA DE LIMA HAUCK                                                                    ;1                                                                                                   ;0;10;3;0;10;6;2;0;6;31000108                                                                                            
CABANA                                            ;3106200                                                                                             ;30512060            ;EE CABANA DO PAI TOMAS                                                                              ;0                                                                                                   ;0;15;15;0;9;9;9;0;1;31000116                                                                                            
HAVAI                                             ;3106200                                                                                             ;30555140            ;EE DOUTOR SIMAO TAMM BIAS FORTES                                                                    ;1                                                                                                   ;0;44;31;19;39;27;17;7;13;31000124                                                                                            
PINDORAMA                                         ;3106200                                                                                             ;30865530            ;EE GUIMARAES ROSA                                                                                   ;1                                                                                                   ;0;32;26;22;31;22;14;8;12;31000132                                                                                            
FUNCIONARIOS                                      ;3106200                                                                                             ;30130060            ;EE PRESIDENTE KENNEDY                                                                               ;0                                                                                                   ;0;0;0;0;0;0;0;0;0;31000141                                                                                            
PALMEIRAS                                         ;3106200                                                                                             ;30570740            ;EE MANUEL CASASANTA                                                                                 ;0                                                                                                   ;0;35;0;33;35;26;0;21;7;31000159                                                                                            
